profile_id	option	gbdraw_required_value	losat_supported	losat_semantics_verified	status	evidence
P1	task	blastp default task	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5872-5924; LOSAT/src/algorithm/blastp/args.rs:362-398; pairwise_default_serial
P1	query/subject mode	local protein FASTA query and subject	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5872-5924; LOSAT/src/algorithm/blastp/args.rs:283-286; all P1 cases
P1	max_hsps	1 HSP per subject	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:6574-6583 and gbdraw/web/js/app/run-analysis.js:3217-3220; LOSAT/src/algorithm/blastp/blast_engine.rs:6210-6228; all P1 cases
P1	max_target_seqs	omitted (BLAST default 500) or explicit positive candidateLimit	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5872-5924 and gbdraw/web/js/app/run-analysis.js:2577-2582; pairwise_default_serial; pairwise_limit1_serial; pairwise_limit5_serial
P1	outfmt	6 standard 12-column TSV	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5872-5924 and gbdraw/analysis/protein_colinearity.py:3019-3051; LOSAT/src/algorithm/blastp/blast_engine.rs:6327-6441; all P1 cases
P1	default scoring/filtering	BLOSUM62; gap 11/1; word size 3; composition mode 2; SEG off; search evalue 10	YES	YES	COVERED	gbdraw passes no overrides; LOSAT/src/algorithm/blastp/args.rs:510-580; all P1 cases use command-visible defaults
P1	num_threads	positive native thread count; serial Wasm fallback	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5894-5923 and gbdraw/web/js/services/losat.js:262-277; pairwise_default_serial; pairwise_default_thread4; direct Wasm probe
P1	post-search thresholds	evalue 1e-5; bitscore 50; identity 70; alignment length 0 applied by gbdraw	N/A	N/A	OUT_OF_SCOPE	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:6584-6599 and gbdraw/web/js/app/run-analysis.js:2559-2575; not BLASTP command options
P2	task	blastp default task	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5872-5924; LOSAT/src/algorithm/blastp/args.rs:362-398; all_hsp_forward_serial
P2	query/subject mode	local self searches plus both directions for every record pair	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:6653-6707 and gbdraw/web/js/app/run-analysis.js:3362-3369; all_hsp_forward_serial; all_hsp_reverse_limit5_serial; all_hsp_self_serial
