group	case_id	kind	threads	baseline_median	candidate_median	speedup_percent	baseline_count	candidate_count	nonregression_pass	rss_pass	evidence
np-main	MelaMJNV.PemoMJNVA.losatn.blastn	threaded	8	0.8028024219966028	0.8034563330002129	-0.08145354145592254	5	5	True	True	integrated-np-main/engineering-checks.json
np-main	MjPMNV.MlPMNV.losatn.blastn	threaded	8	11.57485908898525	6.207425920991227	46.37147741264276	5	5	True	True	integrated-np-main/engineering-checks.json
np-main	AP027078.AP027131.losatp	threaded	8	7.449706334009534	6.618646777991671	11.155601560076189	5	5	True	True	integrated-np-main/engineering-checks.json
np-main	AP027132.NZ_CP006932.losatp	threaded	8	10.786954312003218	9.55690865800716	11.403085786942846	5	5	True	True	integrated-np-main/engineering-checks.json
x-main	MelaMJNV.PemoMJNVA.tlosatx	threaded	8	4.120223461999558	4.130871704983292	-0.25843848232849354	5	5	True	True	integrated-x-main/engineering-checks.json
x-main	MjeNMV.MelaMJNV.tlosatx	threaded	8	13.57684856900596	13.923771091009257	-2.5552507287683213	5	5	True	True	integrated-x-main/engineering-checks.json
x-main	AP027280.AP027280.tlosatx	threaded	8	25.556511331000365	25.562424231990008	-0.023136573349380463	5	5	True	True	integrated-x-main/engineering-checks.json
np-native	MelaMJNV.PemoMJNVA.losatn.blastn	native	1	0.46953260200098157	0.4710803850030061	-0.3296433507339991	5	5	True	True	C-NA64-np-native-controls/engineering-checks.json
np-native	MelaMJNV.PemoMJNVA.losatn.blastn	native	8	0.35612010600743815	0.3342762609827332	6.1338421100685325	5	5	True	True	C-NA64-np-native-controls/engineering-checks.json
np-native	MjPMNV.MlPMNV.losatn.blastn	native	1	10.528382454009261	8.438492935005343	19.850053207442876	5	5	True	True	C-NA64-np-native-controls/engineering-checks.json
np-native	MjPMNV.MlPMNV.losatn.blastn	native	8	6.162598155991873	4.088945772993611	33.64899561043189	5	5	True	True	C-NA64-np-native-controls/engineering-checks.json
np-native	AP027078.AP027131.losatp	native	1	27.095780686009675	28.126089689991204	-3.802470266204616	5	5	True	True	C-NA64-np-native-controls/engineering-checks.json
np-native	AP027078.AP027131.losatp	native	8	5.0019624840060715	5.165809771977365	-3.275660073325226	5	5	True	True	C-NA64-np-native-controls/engineering-checks.json
np-native	AP027132.NZ_CP006932.losatp	native	1	41.578226056008134	42.96929886500584	-3.3456761890799713	5	5	True	True	C-NA64-np-native-controls/engineering-checks.json
np-native	AP027132.NZ_CP006932.losatp	native	8	7.9274338470131624	7.992195683007594	-0.8169331620323961	5	5	True	True	C-NA64-np-native-controls/engineering-checks.json
x-native	MelaMJNV.PemoMJNVA.tlosatx	native	1	3.6295855340140406	3.572273562022019	1.5790224932001773	5	5	True	True	C-NA64-x-native-controls/engineering-checks.json
x-native	MelaMJNV.PemoMJNVA.tlosatx	native	8	2.212022834981326	2.155660988006275	2.547977628609188	5	5	True	True	C-NA64-x-native-controls/engineering-checks.json
x-native	MjeNMV.MelaMJNV.tlosatx	native	1	16.838524569000583	16.833425263001118	0.030283567770850173	5	5	True	True	C-NA64-x-native-controls/engineering-checks.json
x-native	MjeNMV.MelaMJNV.tlosatx	native	8	10.206712219020119	10.087494794017402	1.1680296499450238	5	5	True	True	C-NA64-x-native-controls/engineering-checks.json
x-native	AP027280.AP027280.tlosatx	native	1	30.075042401003884	29.73896354599856	1.1174676016220908	5	5	True	True	C-NA64-x-native-controls/engineering-checks.json
x-native	AP027280.AP027280.tlosatx	native	8	18.10163197197835	18.015462317998754	0.47603251526153745	5	5	True	True	C-NA64-x-native-controls/engineering-checks.json
