id	source_codons	stop_codons	source
1	64	3	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
2	64	4	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
3	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
4	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
5	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
6	64	1	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
9	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
10	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
11	64	3	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
12	64	3	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
13	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
14	64	1	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
15	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
16	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
21	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
22	64	3	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
23	64	4	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
24	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
25	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
26	64	3	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
27	64	0	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
28	64	0	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
29	64	1	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
30	64	1	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
31	64	0	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
32	64	2	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
33	64	1	gc.prt@598d8ae6a72b923127ba2fbfaffd48e4c83bfbf4
