call	oid	subject	pass	fence	status	count_before	count_after	index	before_raw	before_frame	before_q_start	before_q_end	before_s_start	before_s_end	after_raw	after_frame	after_q_start	after_q_end	after_s_start	after_s_end
0	0	plus1	1	1	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
1	0	plus1	2	0	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
2	1	plus2	1	1	0	1	1	0	656	2	0	120	0	120	656	2	0	120	0	120
3	1	plus2	2	0	0	1	1	0	656	2	0	120	0	120	656	2	0	120	0	120
4	2	plus3	1	1	0	1	1	0	656	3	0	120	0	120	656	3	0	120	0	120
5	2	plus3	2	0	0	1	1	0	656	3	0	120	0	120	656	3	0	120	0	120
6	3	minus1	1	1	0	1	1	0	656	-1	0	120	0	120	656	-1	0	120	0	120
7	3	minus1	2	0	0	1	1	0	656	-1	0	120	0	120	656	-1	0	120	0	120
8	4	minus2	1	1	0	1	1	0	656	-2	0	120	0	120	656	-2	0	120	0	120
9	4	minus2	2	0	0	1	1	0	656	-2	0	120	0	120	656	-2	0	120	0	120
10	5	minus3	1	1	0	1	1	0	656	-3	0	120	0	120	656	-3	0	120	0	120
11	5	minus3	2	0	0	1	1	0	656	-3	0	120	0	120	656	-3	0	120	0	120
12	6	partial_codon	1	1	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
13	6	partial_codon	2	0	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
14	7	ambiguous	1	1	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
15	7	ambiguous	2	0	0	1	1	0	656	1	0	120	0	120	646	1	0	120	0	120
16	8	internal_stop	1	1	0	1	1	0	647	1	0	120	0	120	647	1	0	120	0	120
17	8	internal_stop	2	0	0	1	1	0	647	1	0	120	0	120	647	1	0	120	0	120
18	11	tie_a	1	1	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
19	11	tie_a	2	0	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
20	12	tie_b	1	1	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
21	12	tie_b	2	0	0	1	1	0	656	1	0	120	0	120	656	1	0	120	0	120
