SET_RANGES	3
SET_RANGE	0	0	14999700
SET_RANGE	1	14999999	14999700
SET_RANGE	2	14999999	15000962
RANGE_CALL	0	1	5000000	3
RANGE	0	0	0	4999900
RANGE	0	1	4999999	4999900
RANGE	0	2	4999999	5000000
RANGE_CALL	1	1	420	1
RANGE	1	0	99	420
RANGE_CALL	2	2	5000000	3
RANGE	2	0	0	4999900
RANGE	2	1	4999999	4999900
RANGE	2	2	4999999	5000000
RANGE_CALL	3	2	420	1
RANGE	3	0	99	420
RANGE_CALL	4	3	5000000	3
RANGE	4	0	0	4999900
RANGE	4	1	4999999	4999900
RANGE	4	2	4999999	5000000
RANGE_CALL	5	3	420	1
RANGE	5	0	99	420
RANGE_CALL	6	-1	5000000	3
RANGE	6	0	0	321
RANGE	6	1	420	321
RANGE	6	2	420	5000000
RANGE_CALL	7	-1	420	1
RANGE	7	0	0	420
RANGE_CALL	8	-2	5000000	3
RANGE	8	0	0	321
RANGE	8	1	420	321
RANGE	8	2	420	5000000
RANGE_CALL	9	-2	420	1
RANGE	9	0	0	420
RANGE_CALL	10	-3	5000000	3
RANGE	10	0	0	321
RANGE	10	1	420	321
RANGE	10	2	420	5000000
RANGE_CALL	11	-3	420	1
RANGE	11	0	0	420
