event	a	b	c	d	e	f	g
ENDPOINT_INPUT	1	2
ENDPOINT_IN_HSP	0	656	3	0	120	146	266
ENDPOINT_IN_HSP	1	656	3	0	120	500	620
ENDPOINT_OUTPUT	2	2
ENDPOINT_OUT_HSP	0	656	3	0	120	146	266
ENDPOINT_OUT_HSP	1	656	3	0	120	500	620
ENDPOINT_INPUT	1	1
ENDPOINT_IN_HSP	0	26	-1	12	19	93	100
ENDPOINT_OUTPUT	1	1
ENDPOINT_OUT_HSP	0	26	-1	12	19	93	100
ENDPOINT_INPUT	0	3
ENDPOINT_IN_HSP	0	656	3	0	120	146	266
ENDPOINT_IN_HSP	1	656	3	0	120	500	620
ENDPOINT_IN_HSP	2	26	-1	12	19	93	100
ENDPOINT_OUTPUT	3	3
ENDPOINT_OUT_HSP	0	26	-1	12	19	93	100
ENDPOINT_OUT_HSP	1	656	3	0	120	146	266
ENDPOINT_OUT_HSP	2	656	3	0	120	500	620
