event	a	b	c	d	e	f	g	h
TRACEBACK_INPUT	0	18
TRACEBACK_IN_HSP	0	0	656	1	0	120	200	320
TRACEBACK_IN_HSP	0	1	656	-3	0	120	200	320
TRACEBACK_IN_HSP	0	2	656	2	0	120	521	641
TRACEBACK_IN_HSP	0	3	656	-2	0	120	521	641
TRACEBACK_IN_HSP	0	4	656	3	0	120	842	962
TRACEBACK_IN_HSP	0	5	656	-1	0	120	842	962
TRACEBACK_IN_HSP	0	6	38	-1	2	82	904	990
TRACEBACK_IN_HSP	0	7	36	-2	17	30	954	967
TRACEBACK_IN_HSP	0	8	27	-3	78	118	49	92
TRACEBACK_IN_HSP	0	9	26	-3	12	19	1430	1437
TRACEBACK_IN_HSP	0	10	24	-1	33	46	962	975
TRACEBACK_IN_HSP	0	11	20	1	17	36	1703	1722
TRACEBACK_IN_HSP	0	12	18	3	31	46	1150	1165
TRACEBACK_IN_HSP	0	13	17	3	42	64	1642	1662
TRACEBACK_IN_HSP	0	14	15	-1	64	66	116	118
TRACEBACK_IN_HSP	0	15	15	-2	55	62	1068	1075
TRACEBACK_IN_HSP	0	16	13	-2	100	103	1003	1006
TRACEBACK_IN_HSP	0	17	13	3	50	53	1011	1014
TRACEBACK_OUTPUT	0	0	18	1
TRACEBACK_OUT_HSP	0	0	656	1	0	120	200	320
TRACEBACK_OUT_HSP	0	1	656	-3	0	120	200	320
TRACEBACK_OUT_HSP	0	2	656	2	0	120	521	641
TRACEBACK_OUT_HSP	0	3	656	-2	0	120	521	641
TRACEBACK_OUT_HSP	0	4	656	3	0	120	842	962
TRACEBACK_OUT_HSP	0	5	656	-1	0	120	842	962
TRACEBACK_OUT_HSP	0	6	38	-1	2	82	904	990
TRACEBACK_OUT_HSP	0	7	36	-2	17	30	954	967
TRACEBACK_OUT_HSP	0	8	27	-3	78	118	49	92
TRACEBACK_OUT_HSP	0	9	26	-3	12	19	1430	1437
TRACEBACK_OUT_HSP	0	10	24	-1	33	46	962	975
TRACEBACK_OUT_HSP	0	11	20	1	17	36	1703	1722
TRACEBACK_OUT_HSP	0	12	18	3	31	46	1150	1165
TRACEBACK_OUT_HSP	0	13	17	3	42	64	1642	1662
TRACEBACK_OUT_HSP	0	14	15	-1	64	66	116	118
TRACEBACK_OUT_HSP	0	15	15	-2	55	62	1068	1075
TRACEBACK_OUT_HSP	0	16	13	-2	100	103	1003	1006
TRACEBACK_OUT_HSP	0	17	13	3	50	53	1011	1014
TRACEBACK_INPUT	0	18
TRACEBACK_IN_HSP	0	0	656	1	0	120	200	320
TRACEBACK_IN_HSP	0	1	656	-3	0	120	200	320
TRACEBACK_IN_HSP	0	2	656	2	0	120	521	641
TRACEBACK_IN_HSP	0	3	656	-2	0	120	521	641
TRACEBACK_IN_HSP	0	4	656	3	0	120	842	962
TRACEBACK_IN_HSP	0	5	656	-1	0	120	842	962
TRACEBACK_IN_HSP	0	6	38	-1	2	82	904	990
TRACEBACK_IN_HSP	0	7	36	-2	17	30	954	967
TRACEBACK_IN_HSP	0	8	27	-3	78	118	49	92
TRACEBACK_IN_HSP	0	9	26	-3	12	19	1430	1437
TRACEBACK_IN_HSP	0	10	24	-1	33	46	962	975
TRACEBACK_IN_HSP	0	11	20	1	17	36	1703	1722
TRACEBACK_IN_HSP	0	12	18	3	31	46	1150	1165
TRACEBACK_IN_HSP	0	13	17	3	42	64	1642	1662
TRACEBACK_IN_HSP	0	14	15	-1	64	66	116	118
TRACEBACK_IN_HSP	0	15	15	-2	55	62	1068	1075
TRACEBACK_IN_HSP	0	16	13	-2	100	103	1003	1006
TRACEBACK_IN_HSP	0	17	13	3	50	53	1011	1014
TRACEBACK_OUTPUT	0	0	17	0
TRACEBACK_OUT_HSP	0	0	656	1	0	120	200	320
TRACEBACK_OUT_HSP	0	1	656	-3	0	120	200	320
TRACEBACK_OUT_HSP	0	2	656	2	0	120	521	641
TRACEBACK_OUT_HSP	0	3	656	-2	0	120	521	641
TRACEBACK_OUT_HSP	0	4	656	3	0	120	842	962
TRACEBACK_OUT_HSP	0	5	656	-1	0	120	842	962
TRACEBACK_OUT_HSP	0	6	36	-2	17	30	954	967
TRACEBACK_OUT_HSP	0	7	27	-3	78	118	49	92
TRACEBACK_OUT_HSP	0	8	26	-3	12	19	1430	1437
TRACEBACK_OUT_HSP	0	9	24	-1	33	46	962	975
TRACEBACK_OUT_HSP	0	10	20	1	17	36	1703	1722
TRACEBACK_OUT_HSP	0	11	18	3	31	46	1150	1165
TRACEBACK_OUT_HSP	0	12	17	3	42	64	1642	1662
TRACEBACK_OUT_HSP	0	13	15	-1	64	66	116	118
TRACEBACK_OUT_HSP	0	14	15	-2	55	62	1068	1075
TRACEBACK_OUT_HSP	0	15	13	-2	100	103	1003	1006
TRACEBACK_OUT_HSP	0	16	13	3	50	53	1011	1014
