run	program	case_id	kind	threads_requested	effective_compute_threads	spawned_helpers	active_workers	repeat	timed	diagnostics_enabled	boundary	status	canonical_gate	oracle_status	oracle_contract_status	exit_status	started_utc	wall_seconds	cpu_user_seconds	cpu_system_seconds	peak_rss_bytes	rss_after_bytes	process_lifetime_peak_rss_bytes	linear_memory_after_bytes	raw_output_sha256	raw_output_bytes	output	reason
initial-audit	blastn	PesePMNV.MjPMNV.task_blastn	native	1				0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		0.2250404649967095	0.15	0.01	32591872				fcd9236c7b02488d868feaf35166a472c73e9f9e6cc45fc6d7449a9edc7d4120	18573	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/PesePMNV.MjPMNV.task_blastn/native-1/repeat-0/output.txt	
initial-audit	blastn	PesePMNV.MjPMNV.task_blastn	serial	1	1			0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		0.7243970840027032	0.82	0.03	119234560				fcd9236c7b02488d868feaf35166a472c73e9f9e6cc45fc6d7449a9edc7d4120	18573	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/PesePMNV.MjPMNV.task_blastn/serial-1/repeat-0/output.txt	
initial-audit	blastn	PmeNMV.MjPMNV.task_blastn	native	1				0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		0.2302073079990805	0.15	0.01	32464896				ef6a0a0e86db2a125161d7dde38e00ae168c063533abdb7f094b433ead1d4f6c	16148	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/PmeNMV.MjPMNV.task_blastn/native-1/repeat-0/output.txt	
initial-audit	blastn	PmeNMV.MjPMNV.task_blastn	serial	1	1			0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		0.6721735149985761	0.76	0.04	113451008				ef6a0a0e86db2a125161d7dde38e00ae168c063533abdb7f094b433ead1d4f6c	16148	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/PmeNMV.MjPMNV.task_blastn/serial-1/repeat-0/output.txt	
initial-audit	blastn	PmeNMV.PesePMNV.task_blastn	native	1				0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		0.4926888740010327	0.29	0.01	35774464				228c992d1872254ca395361913b410ea247d61ab9bece993708b716d5a388d1d	106981	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/PmeNMV.PesePMNV.task_blastn/native-1/repeat-0/output.txt	
initial-audit	blastn	PmeNMV.PesePMNV.task_blastn	serial	1	1			0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		1.5262725389984553	1.47	0.04	119648256				228c992d1872254ca395361913b410ea247d61ab9bece993708b716d5a388d1d	106981	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/PmeNMV.PesePMNV.task_blastn/serial-1/repeat-0/output.txt	
initial-audit	blastn	PeseMJNV.PemoMJNVB.task_blastn	native	1				0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		1.9798753610011772	1.86	0.02	53145600				23b71f4868c442c8e026de8437906037d7d3daaf9a2ba7967570999d5b937adb	867639	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/PeseMJNV.PemoMJNVB.task_blastn/native-1/repeat-0/output.txt	
initial-audit	blastn	PeseMJNV.PemoMJNVB.task_blastn	serial	1	1			0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		7.977845662997424	7.97	0.07	128995328				23b71f4868c442c8e026de8437906037d7d3daaf9a2ba7967570999d5b937adb	867639	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/PeseMJNV.PemoMJNVB.task_blastn/serial-1/repeat-0/output.txt	
initial-audit	blastn	MelaMJNV.PemoMJNVA.task_blastn	native	1				0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		0.534380183002213	0.48	0.0	34832384				640cf71da6db41c035da8b18fae44672f928abe49600120f4ca0eb04c99879f7	201413	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/MelaMJNV.PemoMJNVA.task_blastn/native-1/repeat-0/output.txt	
initial-audit	blastn	MelaMJNV.PemoMJNVA.task_blastn	serial	1	1			0	False	False	cold-process-through-teardown	PASS	PASS	PASS		0		1.7820094009985041	1.9	0.03	113348608				640cf71da6db41c035da8b18fae44672f928abe49600120f4ca0eb04c99879f7	201413	/mnt/c/Users/genom/GitHub/LOSAT/docs/wasm-performance/PR01/initial-audit/blastn/MelaMJNV.PemoMJNVA.task_blastn/serial-1/repeat-0/output.txt	
