call	subject	frame	ordinal	query_offset	subject_offset
0	spectrum	1	0	0	0
0	spectrum	1	1	1	1
0	spectrum	1	2	2	2
0	spectrum	1	3	62	2
0	spectrum	1	4	16	3
0	spectrum	1	5	63	3
0	spectrum	1	6	3	3
0	spectrum	1	7	17	4
0	spectrum	1	8	4	4
0	spectrum	1	9	43	4
0	spectrum	1	10	5	5
0	spectrum	1	11	6	6
0	spectrum	1	12	7	7
0	spectrum	1	13	8	8
0	spectrum	1	14	9	9
0	spectrum	1	15	10	10
0	spectrum	1	16	11	11
0	spectrum	1	17	12	12
0	spectrum	1	18	13	13
0	spectrum	1	19	14	14
0	spectrum	1	20	41	15
0	spectrum	1	21	15	15
0	spectrum	1	22	16	16
0	spectrum	1	23	3	16
0	spectrum	1	24	17	17
0	spectrum	1	25	4	17
0	spectrum	1	26	18	18
0	spectrum	1	27	19	19
0	spectrum	1	28	20	20
0	spectrum	1	29	21	21
0	spectrum	1	30	22	22
0	spectrum	1	31	23	23
0	spectrum	1	32	24	24
0	spectrum	1	33	25	25
0	spectrum	1	34	26	26
0	spectrum	1	35	27	27
0	spectrum	1	36	28	28
0	spectrum	1	37	4	29
0	spectrum	1	38	34	34
0	spectrum	1	39	35	35
0	spectrum	1	40	36	36
0	spectrum	1	41	68	37
0	spectrum	1	42	37	37
0	spectrum	1	43	38	38
0	spectrum	1	44	95	39
0	spectrum	1	45	39	39
0	spectrum	1	46	40	40
0	spectrum	1	47	41	41
0	spectrum	1	48	15	41
0	spectrum	1	49	42	42
0	spectrum	1	50	4	43
0	spectrum	1	51	43	43
0	spectrum	1	52	44	44
0	spectrum	1	53	45	45
0	spectrum	1	54	46	46
0	spectrum	1	55	47	47
0	spectrum	1	56	48	48
0	spectrum	1	57	49	49
0	spectrum	1	58	50	50
0	spectrum	1	59	51	51
0	spectrum	1	60	52	52
0	spectrum	1	61	53	53
0	spectrum	1	62	54	54
0	spectrum	1	63	55	55
0	spectrum	1	64	56	56
0	spectrum	1	65	57	57
0	spectrum	1	66	58	58
0	spectrum	1	67	59	59
0	spectrum	1	68	60	60
0	spectrum	1	69	61	61
0	spectrum	1	70	2	62
0	spectrum	1	71	62	62
0	spectrum	1	72	63	63
0	spectrum	1	73	3	63
0	spectrum	1	74	64	64
0	spectrum	1	75	65	65
0	spectrum	1	76	66	66
0	spectrum	1	77	67	67
0	spectrum	1	78	68	68
0	spectrum	1	79	37	68
0	spectrum	1	80	69	69
0	spectrum	1	81	70	70
0	spectrum	1	82	71	71
0	spectrum	1	83	72	72
0	spectrum	1	84	73	73
0	spectrum	1	85	74	74
0	spectrum	1	86	75	75
0	spectrum	1	87	76	76
0	spectrum	1	88	77	77
0	spectrum	1	89	78	78
0	spectrum	1	90	79	79
0	spectrum	1	91	80	80
0	spectrum	1	92	81	81
0	spectrum	1	93	82	82
0	spectrum	1	94	83	83
0	spectrum	1	95	84	84
0	spectrum	1	96	85	85
0	spectrum	1	97	86	86
0	spectrum	1	98	87	87
0	spectrum	1	99	88	88
0	spectrum	1	100	89	89
0	spectrum	1	101	90	90
0	spectrum	1	102	91	91
0	spectrum	1	103	92	92
0	spectrum	1	104	93	93
0	spectrum	1	105	94	94
0	spectrum	1	106	95	95
0	spectrum	1	107	39	95
0	spectrum	1	108	96	96
0	spectrum	1	109	97	97
0	spectrum	1	110	98	98
0	spectrum	1	111	99	99
0	spectrum	1	112	100	100
0	spectrum	1	113	101	101
0	spectrum	1	114	102	102
0	spectrum	1	115	103	103
0	spectrum	1	116	104	104
0	spectrum	1	117	105	105
0	spectrum	1	118	106	106
0	spectrum	1	119	107	107
0	spectrum	1	120	108	108
0	spectrum	1	121	109	109
0	spectrum	1	122	110	110
0	spectrum	1	123	111	111
0	spectrum	1	124	112	112
0	spectrum	1	125	113	113
0	spectrum	1	126	114	114
0	spectrum	1	127	115	115
0	spectrum	1	128	116	116
0	spectrum	1	129	117	117
1	spectrum	2	0	16	4
1	spectrum	2	1	17	5
1	spectrum	2	2	4	5
1	spectrum	2	3	43	5
1	spectrum	2	4	111	9
1	spectrum	2	5	5	10
1	spectrum	2	6	111	12
1	spectrum	2	7	83	40
1	spectrum	2	8	43	52
1	spectrum	2	9	63	54
1	spectrum	2	10	3	54
1	spectrum	2	11	4	55
1	spectrum	2	12	43	55
1	spectrum	2	13	78	65
1	spectrum	2	14	79	66
1	spectrum	2	15	78	70
1	spectrum	2	16	50	71
1	spectrum	2	17	79	71
1	spectrum	2	18	111	72
1	spectrum	2	19	78	77
1	spectrum	2	20	79	78
1	spectrum	2	21	27	108
1	spectrum	2	22	16	111
1	spectrum	2	23	63	111
1	spectrum	2	24	3	111
1	spectrum	2	25	17	112
1	spectrum	2	26	4	112
1	spectrum	2	27	43	112
2	spectrum	3	0	63	10
2	spectrum	3	1	87	24
2	spectrum	3	2	27	56
2	spectrum	3	3	2	71
2	spectrum	3	4	62	71
2	spectrum	3	5	63	72
2	spectrum	3	6	3	72
2	spectrum	3	7	9	110
3	spectrum	-1	0	24	7
3	spectrum	-1	1	23	63
3	spectrum	-1	2	83	73
3	spectrum	-1	3	107	88
4	spectrum	-2	0	107	103
5	spectrum	-3	0	31	4
5	spectrum	-3	1	68	25
5	spectrum	-3	2	37	25
5	spectrum	-3	3	61	25
5	spectrum	-3	4	24	37
5	spectrum	-3	5	92	43
5	spectrum	-3	6	93	44
5	spectrum	-3	7	51	57
5	spectrum	-3	8	24	105
5	spectrum	-3	9	93	107
