stage	q_idx	s_idx	ctx_idx	s_f_idx	q_frame	s_frame	q_aa_start	q_aa_end	s_aa_start	s_aa_end	q_seed_off	s_seed_off	raw_score	e_value	e_value_bits	hsp_list_order	ordering_method	linked_set	start_of_chain	link_id	chain_next_link_id
after_reevaluate	0	0	5	1	-3	2	15549	15893	88473	88817	15552	88476	1688	inf	0x7ff0000000000000	4400	0	0	0	0	NA
after_reevaluate	0	0	3	0	-1	1	15941	16212	88865	89136	15944	88868	1331	inf	0x7ff0000000000000	5231	0	0	0	0	NA
after_reevaluate	0	0	1	5	2	-3	78476	78716	30376	30616	78479	30379	1198	inf	0x7ff0000000000000	1202	0	0	0	0	NA
after_reevaluate	0	0	4	0	-2	1	15597	15847	88521	88771	15600	88524	1192	inf	0x7ff0000000000000	5164	0	0	0	0	NA
after_reevaluate	0	0	2	3	3	-1	78475	78715	30376	30616	78478	30379	1183	inf	0x7ff0000000000000	1296	0	0	0	0	NA
after_reevaluate	0	0	2	5	3	-3	78259	78475	30064	30280	78262	30067	1119	inf	0x7ff0000000000000	1192	0	0	0	0	NA
after_reevaluate	0	0	5	0	-3	1	17223	17428	89614	89819	17226	89617	1109	inf	0x7ff0000000000000	6103	0	0	0	0	NA
after_reevaluate	0	0	0	3	1	-1	78260	78476	30065	30281	78263	30068	1091	inf	0x7ff0000000000000	1289	0	0	0	0	NA
after_reevaluate	0	0	3	1	-1	2	17208	17427	89598	89817	17213	89603	1068	inf	0x7ff0000000000000	5410	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	78476	78670	30376	30570	78479	30379	1005	inf	0x7ff0000000000000	1146	0	0	0	0	NA
after_reevaluate	0	0	1	4	2	-2	78260	78475	30065	30280	78263	30068	984	inf	0x7ff0000000000000	1137	0	0	0	0	NA
after_reevaluate	0	0	4	1	-2	2	15914	16109	88838	89033	15917	88841	979	inf	0x7ff0000000000000	4479	0	0	0	0	NA
after_reevaluate	0	0	5	2	-3	3	15910	16108	88834	89032	15913	88837	921	inf	0x7ff0000000000000	4524	0	0	0	0	NA
after_reevaluate	0	0	1	3	2	-1	79787	79988	31059	31260	79790	31062	908	inf	0x7ff0000000000000	2371	0	0	0	0	NA
after_reevaluate	0	0	1	5	2	-3	79603	79776	30874	31047	79606	30877	896	inf	0x7ff0000000000000	2169	0	0	0	0	NA
after_reevaluate	0	0	5	2	-3	3	16970	17159	89265	89454	16973	89268	864	inf	0x7ff0000000000000	5269	0	0	0	0	NA
after_reevaluate	0	0	4	2	-2	3	17255	17427	89645	89817	17258	89648	860	inf	0x7ff0000000000000	5283	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	715	993	325	603	727	337	848	inf	0x7ff0000000000000	15	0	0	0	0	NA
after_reevaluate	0	0	0	5	1	-3	4769	5045	325	601	4781	337	845	inf	0x7ff0000000000000	14	0	0	0	0	NA
after_reevaluate	0	0	3	2	-1	3	15688	15848	88611	88771	15691	88614	775	inf	0x7ff0000000000000	4460	0	0	0	0	NA
after_reevaluate	0	0	0	5	1	-3	79794	79955	31065	31226	79797	31068	771	inf	0x7ff0000000000000	2220	0	0	0	0	NA
after_reevaluate	0	0	2	4	3	-2	79907	80073	31179	31345	79910	31182	704	inf	0x7ff0000000000000	2173	0	0	0	0	NA
after_reevaluate	0	0	1	3	2	-1	80008	80137	31280	31409	80011	31283	669	inf	0x7ff0000000000000	2382	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	79479	79605	30750	30876	79482	30753	629	inf	0x7ff0000000000000	2121	0	0	0	0	NA
after_reevaluate	0	0	2	5	3	-3	72563	72751	28221	28409	72598	28256	593	inf	0x7ff0000000000000	779	0	0	0	0	NA
after_reevaluate	0	0	4	1	-2	2	17099	17211	89394	89506	17102	89397	551	inf	0x7ff0000000000000	5402	0	0	0	0	NA
after_reevaluate	0	0	3	0	-1	1	17097	17212	89392	89507	17100	89395	550	inf	0x7ff0000000000000	6093	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	79656	79773	30927	31044	79659	30930	544	inf	0x7ff0000000000000	2124	0	0	0	0	NA
after_reevaluate	0	0	3	2	-1	3	15550	15675	88473	88598	15553	88476	537	inf	0x7ff0000000000000	4457	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	48109	48319	70206	70416	48131	70228	501	inf	0x7ff0000000000000	4009	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	36306	36494	41095	41283	36317	41106	489	inf	0x7ff0000000000000	2108	0	0	0	0	NA
after_reevaluate	0	0	3	0	-1	1	16971	17082	89266	89377	16974	89269	469	inf	0x7ff0000000000000	6088	0	0	0	0	NA
