stage	q_idx	s_idx	ctx_idx	s_f_idx	q_frame	s_frame	q_aa_start	q_aa_end	s_aa_start	s_aa_end	q_seed_off	s_seed_off	raw_score	e_value	e_value_bits	ordering_method	linked_set	start_of_chain	link_id	chain_next_link_id
after_common_endpoint_purge	0	0	3	0	-1	1	15941	16212	88865	89136	15944	88868	1331	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	4	0	-2	1	15597	15847	88521	88771	15600	88524	1192	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	5	0	-3	1	17223	17428	89614	89819	17226	89617	1109	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	17097	17212	89392	89507	17100	89395	550	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	16971	17082	89266	89377	16974	89269	469	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	43049	43178	44996	45125	43060	45007	368	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	1	0	2	1	30804	31020	58486	58702	30875	58557	367	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	5	0	-3	1	17654	17733	83354	83433	17657	83357	359	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	5	0	-3	1	22935	23113	91473	91651	22944	91482	347	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	5538	5677	81742	81881	5559	81763	336	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	5381	5512	81581	81712	5393	81593	259	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	28963	29090	109919	110046	29014	109970	245	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	28692	28790	109624	109722	28717	109649	238	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	17425	17464	89816	89855	17427	89818	230	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	4	0	-2	1	90662	90778	119301	119417	90665	119304	228	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	94716	94832	119301	119417	94719	119304	227	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	28820	28912	109755	109847	28831	109766	215	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	60772	60862	81581	81671	60780	81589	201	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	64664	64762	81732	81830	64671	81739	201	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	5	0	-3	1	16250	16287	89168	89205	16253	89171	196	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	59978	60054	81581	81657	59989	81592	189	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	10781	10857	91348	91424	10786	91353	189	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	61721	61819	81732	81830	61729	81740	184	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	29419	29516	110392	110489	29475	110448	183	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	63263	63347	81734	81818	63266	81737	182	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	62323	62406	81578	81661	62341	81596	181	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	60912	60983	81725	81796	60921	81734	180	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	62476	62565	81735	81824	62491	81750	178	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	65276	65356	81581	81661	65290	81595	176	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	4	0	-2	1	15550	15585	88474	88509	15553	88477	170	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	4	0	-2	1	90798	90909	119437	119548	90813	119452	167	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	1	0	2	1	9331	9413	91335	91417	9349	91353	164	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	1	0	2	1	9443	9534	91471	91562	9502	91530	163	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	94852	94963	119437	119548	94869	119454	160	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	1	0	2	1	72675	72746	26586	26657	72702	26613	158	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	2066	2133	91340	91407	2079	91353	157	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	60124	60186	81734	81796	60127	81737	154	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	1	0	2	1	5401	5536	80470	80605	5422	80491	153	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	64513	64569	81577	81633	64528	81592	153	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	60842	60903	81650	81711	60871	81679	150	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	4	0	-2	1	90241	90306	3395	3460	90264	3418	149	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	63112	63165	81577	81630	63127	81592	149	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	63828	63886	81581	81639	63842	81595	148	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	73528	73590	26994	27056	73555	27021	145	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	65172	65227	81480	81535	65177	81485	144	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	61580	61646	81581	81647	61592	81593	144	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	10233	10299	91337	91403	10257	91361	144	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	2	0	3	1	63011	63066	81480	81535	63028	81497	143	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	4	0	-2	1	39559	39614	17231	17286	39563	17235	142	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	5	0	-3	1	34847	34914	3393	3460	34872	3418	141	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	22651	22694	91340	91383	22665	91354	139	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	5	0	-3	1	31116	31178	3407	3469	31127	3418	136	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	3	0	-1	1	86531	86570	27009	27048	86544	27022	135	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	0	0	1	1	42977	43030	44923	44976	42988	44934	135	inf	0x7ff0000000000000	0	0	0	0	NA
after_common_endpoint_purge	0	0	4	0	-2	1	15861	15893	88785	88817	15864	88788	134	inf	0x7ff0000000000000	0	0	0	0	NA
