call	subject	frame	ordinal	query_offset	subject_offset
0	upper	1	0	0	0
0	upper	1	1	1	1
0	upper	1	2	2	2
0	upper	1	3	62	2
0	upper	1	4	16	3
0	upper	1	5	63	3
0	upper	1	6	3	3
0	upper	1	7	17	4
0	upper	1	8	4	4
0	upper	1	9	43	4
0	upper	1	10	5	5
0	upper	1	11	6	6
0	upper	1	12	7	7
0	upper	1	13	8	8
0	upper	1	14	9	9
0	upper	1	15	10	10
0	upper	1	16	11	11
0	upper	1	17	12	12
0	upper	1	18	13	13
0	upper	1	19	14	14
0	upper	1	20	41	15
0	upper	1	21	15	15
0	upper	1	22	16	16
0	upper	1	23	3	16
0	upper	1	24	17	17
0	upper	1	25	4	17
0	upper	1	26	18	18
0	upper	1	27	19	19
0	upper	1	28	20	20
0	upper	1	29	21	21
0	upper	1	30	22	22
0	upper	1	31	23	23
0	upper	1	32	24	24
0	upper	1	33	25	25
0	upper	1	34	26	26
0	upper	1	35	27	27
0	upper	1	36	28	28
0	upper	1	37	29	29
0	upper	1	38	30	30
0	upper	1	39	31	31
0	upper	1	40	32	32
0	upper	1	41	33	33
0	upper	1	42	34	34
0	upper	1	43	35	35
0	upper	1	44	36	36
0	upper	1	45	68	37
0	upper	1	46	37	37
0	upper	1	47	38	38
0	upper	1	48	95	39
0	upper	1	49	39	39
0	upper	1	50	40	40
0	upper	1	51	41	41
0	upper	1	52	15	41
0	upper	1	53	42	42
0	upper	1	54	4	43
0	upper	1	55	43	43
0	upper	1	56	44	44
0	upper	1	57	45	45
0	upper	1	58	46	46
0	upper	1	59	47	47
0	upper	1	60	48	48
0	upper	1	61	49	49
0	upper	1	62	50	50
0	upper	1	63	51	51
0	upper	1	64	52	52
0	upper	1	65	53	53
0	upper	1	66	54	54
0	upper	1	67	55	55
0	upper	1	68	56	56
0	upper	1	69	57	57
0	upper	1	70	58	58
0	upper	1	71	59	59
0	upper	1	72	60	60
0	upper	1	73	61	61
0	upper	1	74	2	62
0	upper	1	75	62	62
0	upper	1	76	63	63
0	upper	1	77	3	63
0	upper	1	78	64	64
0	upper	1	79	65	65
0	upper	1	80	66	66
0	upper	1	81	67	67
0	upper	1	82	68	68
0	upper	1	83	37	68
0	upper	1	84	69	69
0	upper	1	85	70	70
0	upper	1	86	71	71
0	upper	1	87	72	72
0	upper	1	88	73	73
0	upper	1	89	74	74
0	upper	1	90	75	75
0	upper	1	91	76	76
0	upper	1	92	77	77
0	upper	1	93	78	78
0	upper	1	94	79	79
0	upper	1	95	80	80
0	upper	1	96	81	81
0	upper	1	97	82	82
0	upper	1	98	83	83
0	upper	1	99	84	84
0	upper	1	100	85	85
0	upper	1	101	86	86
0	upper	1	102	87	87
0	upper	1	103	88	88
0	upper	1	104	89	89
0	upper	1	105	90	90
0	upper	1	106	91	91
0	upper	1	107	92	92
0	upper	1	108	93	93
0	upper	1	109	94	94
0	upper	1	110	95	95
0	upper	1	111	39	95
0	upper	1	112	96	96
0	upper	1	113	97	97
0	upper	1	114	98	98
0	upper	1	115	99	99
0	upper	1	116	100	100
0	upper	1	117	101	101
0	upper	1	118	102	102
0	upper	1	119	103	103
0	upper	1	120	104	104
0	upper	1	121	105	105
0	upper	1	122	106	106
0	upper	1	123	107	107
0	upper	1	124	108	108
0	upper	1	125	109	109
0	upper	1	126	110	110
0	upper	1	127	111	111
0	upper	1	128	112	112
0	upper	1	129	113	113
0	upper	1	130	114	114
0	upper	1	131	115	115
0	upper	1	132	116	116
0	upper	1	133	117	117
1	upper	2	0	16	4
1	upper	2	1	17	5
1	upper	2	2	4	5
1	upper	2	3	43	5
1	upper	2	4	111	9
1	upper	2	5	5	10
1	upper	2	6	111	12
1	upper	2	7	83	40
1	upper	2	8	43	52
1	upper	2	9	63	54
1	upper	2	10	3	54
1	upper	2	11	4	55
1	upper	2	12	43	55
1	upper	2	13	78	65
1	upper	2	14	79	66
1	upper	2	15	78	70
1	upper	2	16	50	71
1	upper	2	17	79	71
1	upper	2	18	111	72
1	upper	2	19	78	77
1	upper	2	20	79	78
1	upper	2	21	27	108
1	upper	2	22	16	111
1	upper	2	23	63	111
1	upper	2	24	3	111
1	upper	2	25	17	112
1	upper	2	26	4	112
1	upper	2	27	43	112
2	upper	3	0	63	10
2	upper	3	1	87	24
2	upper	3	2	27	56
2	upper	3	3	2	71
2	upper	3	4	62	71
2	upper	3	5	63	72
2	upper	3	6	3	72
2	upper	3	7	9	110
3	upper	-1	0	24	7
3	upper	-1	1	23	63
3	upper	-1	2	83	73
4	upper	-2	0	7	84
4	upper	-2	1	107	103
5	upper	-3	0	31	4
5	upper	-3	1	68	25
5	upper	-3	2	37	25
5	upper	-3	3	61	25
5	upper	-3	4	24	37
5	upper	-3	5	92	43
5	upper	-3	6	93	44
5	upper	-3	7	51	57
5	upper	-3	8	24	105
5	upper	-3	9	93	107
6	lower	1	0	0	0
12	middle	1	0	0	0
12	middle	1	1	1	1
12	middle	1	2	2	2
12	middle	1	3	62	2
12	middle	1	4	16	3
12	middle	1	5	63	3
12	middle	1	6	3	3
12	middle	1	7	17	4
12	middle	1	8	4	4
12	middle	1	9	43	4
12	middle	1	10	5	5
12	middle	1	11	6	6
12	middle	1	12	7	7
12	middle	1	13	8	8
12	middle	1	14	9	9
12	middle	1	15	10	10
12	middle	1	16	11	11
12	middle	1	17	12	12
12	middle	1	18	13	13
12	middle	1	19	14	14
12	middle	1	20	41	15
12	middle	1	21	15	15
12	middle	1	22	16	16
12	middle	1	23	3	16
12	middle	1	24	17	17
12	middle	1	25	4	17
12	middle	1	26	18	18
12	middle	1	27	19	19
12	middle	1	28	20	20
12	middle	1	29	21	21
12	middle	1	30	22	22
12	middle	1	31	23	23
12	middle	1	32	24	24
12	middle	1	33	25	25
12	middle	1	34	26	26
12	middle	1	35	27	27
12	middle	1	36	89	89
12	middle	1	37	90	90
12	middle	1	38	91	91
12	middle	1	39	92	92
12	middle	1	40	93	93
12	middle	1	41	94	94
12	middle	1	42	95	95
12	middle	1	43	39	95
12	middle	1	44	96	96
12	middle	1	45	97	97
12	middle	1	46	98	98
12	middle	1	47	99	99
12	middle	1	48	100	100
12	middle	1	49	101	101
12	middle	1	50	102	102
12	middle	1	51	103	103
12	middle	1	52	104	104
12	middle	1	53	105	105
12	middle	1	54	106	106
12	middle	1	55	107	107
12	middle	1	56	108	108
12	middle	1	57	109	109
12	middle	1	58	110	110
12	middle	1	59	111	111
12	middle	1	60	112	112
12	middle	1	61	113	113
12	middle	1	62	114	114
12	middle	1	63	115	115
12	middle	1	64	116	116
12	middle	1	65	117	117
13	middle	2	0	16	4
13	middle	2	1	17	5
13	middle	2	2	4	5
13	middle	2	3	43	5
13	middle	2	4	111	9
13	middle	2	5	5	10
13	middle	2	6	111	12
13	middle	2	7	27	108
13	middle	2	8	16	111
13	middle	2	9	63	111
13	middle	2	10	3	111
13	middle	2	11	17	112
13	middle	2	12	4	112
13	middle	2	13	43	112
14	middle	3	0	63	10
14	middle	3	1	87	24
14	middle	3	2	9	110
15	middle	-1	0	24	7
16	middle	-2	0	107	103
17	middle	-3	0	31	4
17	middle	-3	1	68	25
17	middle	-3	2	37	25
17	middle	-3	3	61	25
17	middle	-3	4	24	105
17	middle	-3	5	93	107
