BDT63074.1	BDT63565.1	27.273	99	55	2	637	735	316	397	0.18	28.1
BDT63075.1	BDT63562.1	30.911	1087	615	24	125	1140	76	1097	1.41e-164	510
BDT63076.1	BDT63501.1	34.615	26	17	0	17	42	797	822	1.3	21.6
BDT63077.1	BDT63514.1	34.286	35	19	1	121	151	58	92	0.43	24.6
BDT63078.1	BDT63563.1	26.087	69	50	1	3	70	1719	1787	2.5	20.8
BDT63079.1	BDT63556.1	40.920	1239	612	30	810	2019	742	1889	0.0	820
BDT63080.1	BDT63555.1	25.823	790	444	27	12	716	12	744	4.33e-62	218
BDT63081.1	BDT63554.1	40.317	630	304	13	4	598	3	595	4.51e-154	449
BDT63082.1	BDT63553.1	48.663	1309	541	21	109	1397	43	1240	0.0	1239
BDT63083.1	BDT63552.1	28.503	628	329	20	1	605	1	531	8.49e-68	223
BDT63084.1	BDT63551.1	44.640	569	284	10	384	929	252	812	5.75e-165	496
BDT63085.1	BDT63516.1	35.294	51	31	1	50	100	157	205	0.005	28.5
BDT63086.1	BDT63558.1	35.260	173	102	5	74	237	52	223	3.97e-24	90.9
BDT63087.1	BDT63563.1	41.463	41	13	2	89	122	1448	1484	0.18	25.4
BDT63088.1	BDT63548.1	24.000	100	62	5	111	202	4	97	2.29e-04	32.3
BDT63089.1	BDT63547.1	34.247	511	302	7	23	533	2	478	4.64e-105	317
BDT63090.1	BDT63546.1	34.234	111	69	3	67	173	7	117	3.82e-11	51.6
BDT63091.1	BDT63531.1	35.714	28	18	0	26	53	246	273	0.82	24.3
BDT63092.1	BDT63544.1	29.268	82	51	2	82	156	65	146	1.43e-04	35.0
BDT63093.1	BDT63543.1	54.430	79	36	0	1	79	1	79	6.35e-26	85.5
BDT63094.1	BDT63542.1	30.615	748	403	19	474	1169	334	1017	3.45e-99	333
BDT63095.1	BDT63519.1	38.182	55	23	3	113	167	1442	1485	1.1	23.1
BDT63096.1	BDT63541.1	28.829	222	145	3	30	247	32	244	1.61e-28	102
BDT63097.1	BDT63540.1	30.882	476	295	8	1	452	1	466	6.15e-62	202
BDT63098.1	BDT63538.1	45.595	908	394	19	5	842	2	879	0.0	703
BDT63099.1	BDT63580.1	28.986	69	36	1	67	135	4927	4982	0.18	26.6
BDT63100.1	BDT63556.1	29.885	87	52	4	21	101	461	544	0.70	22.7
BDT63101.1	BDT63535.1	44.444	90	39	2	137	226	83	161	6.20e-21	82.4
BDT63102.1	BDT63569.1	25.000	116	74	3	87	195	203	312	0.032	27.7
BDT63103.1	BDT63519.1	30.909	55	31	2	10	57	429	483	0.35	21.9
BDT63104.1	BDT63533.1	33.959	1652	903	32	11	1629	27	1523	0.0	972
BDT63105.1	BDT63532.1	33.827	946	531	27	18	902	24	935	2.14e-156	484
BDT63106.1	BDT63531.1	60.227	440	149	3	341	761	154	586	0.0	532
BDT63107.1	BDT63519.1	36.000	25	16	0	1	25	126	150	1.7	22.3
BDT63108.1	BDT63577.1	36.000	25	16	0	36	60	116	140	2.6	21.2
BDT63109.1	BDT63529.1	38.768	779	428	18	35	781	9	770	1.02e-168	499
BDT63110.1	BDT63528.1	41.131	1026	533	20	29	1029	53	1032	0.0	771
BDT63111.1	BDT63525.1	42.236	322	138	6	34	355	24	297	7.01e-88	262
BDT63112.1	BDT63570.1	30.282	284	174	7	124	388	30	308	7.03e-31	123
BDT63113.1	BDT63524.1	25.595	168	119	4	80	246	79	241	1.29e-21	84.0
BDT63114.1	BDT63571.1	51.786	56	27	0	29	84	436	491	1.68e-17	68.6
BDT63115.1	BDT63562.1	33.333	33	22	0	10	42	497	529	0.040	23.9
BDT63116.1	BDT63572.1	30.282	142	89	3	1	141	1	133	9.86e-14	60.8
BDT63117.1	BDT63573.1	30.579	1089	630	23	118	1150	229	1247	5.48e-160	504
BDT63118.1	BDT63574.1	23.367	398	241	11	438	807	616	977	1.11e-21	93.6
BDT63119.1	BDT63519.1	36.364	22	13	1	112	133	159	179	1.9	22.3
BDT63120.1	BDT63575.1	29.630	378	208	17	5	344	27	384	6.21e-32	126
BDT63121.1	BDT63577.1	31.194	779	452	14	1	745	1	729	3.42e-129	394
BDT63122.1	BDT63563.1	36.667	30	19	0	46	75	391	420	0.21	22.7
BDT63123.1	BDT63570.1	36.161	224	112	7	140	334	109	330	1.20e-29	119
BDT63124.1	BDT63579.1	37.318	2125	1159	54	10	2084	1	2002	0.0	1303
BDT63125.1	BDT63580.1	43.785	6340	3008	118	78	6220	53	6033	0.0	4909
BDT63126.1	BDT63518.1	31.915	47	29	1	23	69	154	197	1.6	23.1
BDT63127.1	BDT63555.1	34.615	26	17	0	258	283	660	685	5.0	21.9
BDT63128.1	BDT63533.1	33.333	54	27	1	221	265	988	1041	0.25	25.4
BDT63129.1	BDT63569.1	41.667	24	9	1	34	52	879	902	0.58	22.3
BDT63130.1	BDT63500.1	42.457	822	402	11	3	804	7	777	0.0	670
BDT63131.1	BDT63503.1	47.059	17	9	0	30	46	566	582	8.4	18.1
BDT63132.1	BDT63502.1	36.778	329	187	6	155	475	282	597	2.92e-60	209
BDT63133.1	BDT63503.1	48.542	2400	1098	33	4	2336	13	2342	0.0	2258
BDT63134.1	BDT63508.1	29.696	724	407	20	134	776	562	1264	2.63e-53	193
BDT63135.1	BDT63507.1	26.932	453	271	15	17	425	9	445	5.25e-44	153
BDT63136.1	BDT63505.1	29.916	478	290	16	520	981	528	976	1.43e-51	189
BDT63137.1	BDT63517.1	41.944	391	201	6	43	429	4	372	3.32e-106	314
BDT63138.1	BDT63516.1	27.741	1067	649	32	1133	2167	1549	2525	4.06e-107	376
BDT63139.1	BDT63514.1	28.261	46	27	1	860	905	95	134	2.6	24.3
BDT63140.1	BDT63580.1	21.053	38	30	0	520	557	5984	6021	3.6	23.9
BDT63141.1	BDT63515.1	32.435	1224	630	32	1	1140	1	1111	0.0	568
BDT63142.1	BDT63514.1	27.273	264	169	7	56	314	61	306	2.59e-27	102
BDT63143.1	BDT63580.1	20.879	91	57	2	47	122	3819	3909	0.33	23.9
BDT63144.1	BDT63512.1	38.783	263	153	7	43	301	16	274	1.62e-56	189
BDT63145.1	BDT63511.1	30.820	305	161	7	2	306	4	258	3.10e-33	117
BDT63146.1	BDT63573.1	27.451	51	35	1	8	56	692	742	1.00	22.3
BDT63147.1	BDT63510.1	33.643	431	235	8	444	835	269	687	6.97e-72	248
BDT63148.1	BDT63509.1	52.852	596	245	5	1	592	1	564	0.0	659
BDT63149.1	BDT63576.1	25.333	75	53	1	103	177	35	106	0.34	24.3
BDT63150.1	BDT63519.1	45.075	1604	722	28	1	1539	1	1510	0.0	1330
BDT63151.1	BDT63520.1	35.484	31	20	0	171	201	153	183	2.14e-04	33.9
BDT63152.1	BDT63521.1	23.864	264	187	2	29	278	16	279	1.21e-28	104
BDT63153.1	BDT63569.1	30.769	91	49	3	50	139	369	446	0.017	28.9
BDT63154.1	BDT63522.1	24.848	1312	768	37	257	1439	134	1356	1.10e-107	369
BDT63155.1	BDT63523.1	39.344	244	144	3	1	241	921	1163	9.54e-55	185
BDT63156.1	BDT63569.1	29.780	863	476	22	235	1080	174	923	4.48e-114	369
BDT63157.1	BDT63580.1	25.743	101	64	3	30	119	5029	5129	0.076	26.2
BDT63158.1	BDT63504.1	37.500	24	15	0	80	103	328	351	9.8	21.2
BDT63159.1	BDT63527.1	25.773	97	64	3	120	211	201	294	3.35e-06	41.6
BDT63160.1	BDT63563.1	27.869	61	34	1	523	573	162	222	3.5	23.5
BDT63161.1	BDT63564.1	24.091	220	142	9	183	392	27	231	1.19e-14	70.5
BDT63162.1	BDT63563.1	29.714	350	197	14	412	728	288	621	2.53e-33	133
