event	call	index	raw_score	context	query_frame	q_start	q_end	q_gapped_start	subject_frame	s_start	s_end	s_gapped_start
GAPPED_HSP	0	0	656	0	0	0	120	29	1	200	320	229
GAPPED_HSP	0	1	20	0	0	17	36	22	1	1703	1722	1708
GAPPED_HSP	1	0	656	0	0	0	120	29	2	521	641	550
GAPPED_HSP	2	0	656	0	0	0	120	29	3	842	962	871
GAPPED_HSP	2	1	18	0	0	31	46	38	3	1150	1165	1157
GAPPED_HSP	2	2	17	0	0	42	64	44	3	1642	1662	1644
GAPPED_HSP	2	3	13	0	0	50	53	51	3	1011	1014	1012
GAPPED_HSP	3	0	656	0	0	0	120	29	-1	842	962	871
GAPPED_HSP	3	1	24	0	0	33	46	38	-1	962	975	967
GAPPED_HSP	3	2	15	0	0	64	66	65	-1	116	118	117
GAPPED_HSP	3	3	38	0	0	2	82	79	-1	904	990	987
GAPPED_HSP	4	0	656	0	0	0	120	29	-2	521	641	550
GAPPED_HSP	4	1	36	0	0	17	30	22	-2	954	967	959
GAPPED_HSP	4	2	15	0	0	55	62	58	-2	1068	1075	1071
GAPPED_HSP	4	3	13	0	0	100	103	101	-2	1003	1006	1004
GAPPED_HSP	5	0	656	0	0	0	120	29	-3	200	320	229
GAPPED_HSP	5	1	26	0	0	12	19	15	-3	1430	1437	1433
GAPPED_HSP	5	2	27	0	0	78	118	83	-3	49	92	54
